==> Options: Namespace(advweight=0.5, arch='nin', data='/home/rohit.gajawada/data', evaluate=False, losstype='wgangp', netD='basic', netDlr=0.001, pretrainedstudent=None, studlr=0.001, teacher='./best_acc.pth')
==> building model nin ...
==> Initializing model parameters ...
Transferring  net_1.0.weight  to  classifer.0.weight
Transferring  net_1.0.bias  to  classifer.0.bias
Transferring  net_1.2.weight  to  classifer.2.weight
Transferring  net_1.2.bias  to  classifer.2.bias
Transferring  net_1.4.weight  to  classifer.4.weight
Transferring  net_1.4.bias  to  classifer.4.bias
Transferring  net_2.0.weight  to  classifer.8.weight
Transferring  net_2.0.bias  to  classifer.8.bias
Transferring  net_2.2.weight  to  classifer.10.weight
Transferring  net_2.2.bias  to  classifer.10.bias
Transferring  net_2.4.weight  to  classifer.12.weight
Transferring  net_2.4.bias  to  classifer.12.bias
Transferring  net_3.0.weight  to  classifer.16.weight
Transferring  net_3.0.bias  to  classifer.16.bias
Transferring  net_3.2.weight  to  classifer.18.weight
Transferring  net_3.2.bias  to  classifer.18.bias
Transferring  net_3.4.weight  to  classifer.20.weight
Transferring  net_3.4.bias  to  classifer.20.bias
Teacher Loaded!
Teacher showing student

Test set: Average loss: 0.4817, Accuracy: 9008/10000 (90.08%)
Best Accuracy: 0.00%

Now testing dumb student
10.12 0
==> Saving models ...

Test set: Average loss: 2.3290, Accuracy: 1012/10000 (10.12%)
Best Accuracy: 10.12%

1 -115.058692932 -40.8855209351 2.30356502533
1 -446.390686035 -220.641387939 2.30543494225
1 -770.403442383 -232.01776123 2.29852437973
1 -948.888183594 -262.261047363 2.29763793945
1 -1157.20056152 -264.281494141 2.30128836632
1 -1190.60534668 -264.562316895 2.3013856411
1 -1351.94165039 -298.045623779 2.29282045364
1 -1314.25927734 -255.557235718 2.2949886322
1 -1335.82739258 -264.280334473 2.29036974907
1 -1390.65039062 -288.373138428 2.30849528313
1 -1435.47485352 -301.240844727 2.28975248337
1 -1399.08239746 -310.898284912 2.29439902306
1 -1527.57885742 -341.11932373 2.30020570755
1 -1538.92504883 -328.841705322 2.30145764351
1 -1516.41430664 -308.273773193 2.28641200066
1 -1540.53808594 -344.589263916 2.29482102394
1 -1536.6640625 -352.984924316 2.29250574112
1 -1574.68640137 -315.845275879 2.29316663742
1 -1530.92150879 -351.925750732 2.28158044815
1 -1558.0916748 -385.80090332 2.2941198349
1 -1585.28417969 -349.906860352 2.29145884514
1 -1655.19921875 -290.552520752 2.28854942322
1 -1619.01159668 -319.367523193 2.29193878174
1 -1752.71069336 -334.714752197 2.29442501068
1 -1635.00097656 -381.459381104 2.28073406219
1 -1640.40649414 -322.523925781 2.27950000763
1 -1730.87670898 -261.718902588 2.28289151192
1 -1751.9921875 -303.710632324 2.27991461754
1 -1737.04418945 -285.643157959 2.27799654007
1 -1826.26757812 -368.751464844 2.2805120945
1 -1692.75170898 -398.664611816 2.29299283028
1 -1754.12133789 -368.451599121 2.27221870422
1 -1825.55737305 -366.222747803 2.28565859795
1 -1702.82556152 -351.525115967 2.2706155777
1 -1709.93701172 -339.710968018 2.28282594681
1 -1753.45617676 -294.66027832 2.27894306183
1 -1840.09240723 -320.847473145 2.29117369652
1 -1720.31323242 -302.044555664 2.28590774536
1 -1754.36035156 -309.140167236 2.27789783478
1 -1808.57678223 -320.058288574 2.28041338921
1 -1808.51196289 -354.294403076 2.28044843674
1 -1780.70776367 -306.562713623 2.28119564056
1 -1765.5625 -360.19052124 2.27918052673
1 -1826.66955566 -349.277496338 2.27855658531
1 -1867.92260742 -350.860839844 2.26766467094
1 -1802.60961914 -354.349609375 2.27541923523
1 -1842.50830078 -312.434234619 2.28019618988
1 -1870.77392578 -301.552886963 2.27310872078
1 -1915.30957031 -280.451049805 2.2812936306
1 -1883.31274414 -282.797271729 2.27578830719
1 -1901.56311035 -259.825317383 2.24168395996
1 -1823.60778809 -295.584014893 2.26557850838
1 -1859.21276855 -260.74230957 2.25816202164
1 -1957.43798828 -283.347839355 2.26584339142
1 -1816.06384277 -259.636901855 2.2502052784
1 -1937.28295898 -241.875274658 2.26156568527
1 -1936.7097168 -289.948547363 2.25533795357
1 -1915.97875977 -363.292175293 2.23246049881
1 -1947.82763672 -357.488098145 2.24932599068
1 -1952.57922363 -313.254547119 2.27519702911
1 -1893.75097656 -316.906219482 2.25099635124
1 -1970.13818359 -322.063659668 2.28210949898
1 -1974.44213867 -330.309417725 2.25832056999
1 -1917.82800293 -317.578704834 2.23330211639
1 -2011.8885498 -288.620025635 2.25673079491
1 -1851.83569336 -227.458328247 2.23823046684
1 -2017.8848877 -257.691955566 2.24113464355
1 -1959.73608398 -279.77255249 2.26546955109
1 -2100.63769531 -288.084411621 2.26708269119
1 -2060.19116211 -287.569763184 2.25155472755
1 -1959.85400391 -330.7081604 2.23209142685
1 -1956.90258789 -333.723327637 2.26132440567
1 -2070.65380859 -336.127685547 2.23836660385
1 -1950.06152344 -350.203155518 2.22824549675
1 -1992.38183594 -324.56137085 2.2378718853
1 -2001.14941406 -326.940368652 2.22472167015
1 -1906.61633301 -352.563201904 2.23146319389
1 -1978.63122559 -325.182556152 2.22711205482
19.63 0
==> Saving models ...

Test set: Average loss: 2.2163, Accuracy: 1963/10000 (19.63%)
Best Accuracy: 19.63%

2 -2056.52636719 -255.298965454 2.24673962593
2 -2104.66918945 -238.174301147 2.23413896561
2 -2030.21679688 -257.074249268 2.22634482384
2 -2051.47827148 -245.85345459 2.22747993469
2 -1881.39013672 -267.737213135 2.23945569992
2 -2048.74829102 -244.812164307 2.22448348999
